service,layer_id,layer_name,geometry,wkid,feature_count,n_fields,join_candidates,extent_within_india,capabilities,error
parivesh2/Administrative_Boundaries,0,State,Polygon,3857,36,8,,,"Map,Query,Data",
parivesh2/Administrative_Boundaries,1,District,Polygon,3857,779,5,,,"Map,Query,Data",
parivesh2/Administrative_Boundaries,2,SubDistrict,Polygon,3857,6500,16,,,"Map,Query,Data",
parivesh2/Administrative_Boundaries,3,Village,Polygon,3857,588607,29,,,"Map,Query,Data",
parivesh2/Administrative_Boundaries,4,Gram Panchayat,Polygon,3857,320194,32,,,"Map,Query,Data",
parivesh2/Administrative_Boundaries,6,International boundary,Polygon,3857,1,7,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,0,State Hq,Point,3857,35,7,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,1,District_Hq,Point,3857,753,11,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,2,SubDistrict_Hq,Point,3857,6254,10,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,3,Block_Hq,Point,3857,6960,12,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,4,Gram Panchayat Hq,Point,3857,225567,16,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,5,Village Location,Point,3857,645828,20,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,6,habitation,Point,3857,433493,7,,,"Map,Query,Data",
parivesh2/AdministrativeHeadQuarter,7,Town,Point,3857,4041,18,,,"Map,Query,Data",
parivesh2/Aravali,0,District Covering Aravali,Polygon,3857,42,5,,,"Map,Query,Data",
parivesh2/Aravali,1,Aravali Range 5km buffer,Polygon,3857,1,4,,,"Map,Query,Data",
parivesh2/Aravali,2,Aravali range,Polygon,3857,531,4,,,"Map,Query,Data",
parivesh2/Aravali,3,DSM 2011 13 Aravali_Range,Polygon,3857,950,5,,,"Map,Query,Data",
parivesh2/Aravali,4,DSM_2011_13_District_Covering_Aravali_Range,Polygon,3857,1922,5,,,"Map,Query,Data",
parivesh2/Canal,2,And_canal,Polyline,3857,22,5,,,"Map,Query,Data",
parivesh2/Canal,3,AP_CanalLine,Polyline,3857,5074,6,,,"Map,Query,Data",
parivesh2/Canal,4,Bih_canalLine,Polyline,3857,7209,3,,,"Map,Query,Data",
parivesh2/Canal,5,chh_canal_line,Polyline,3857,4978,6,,,"Map,Query,Data",
parivesh2/Canal,6,Dadra_CanalLine,Polyline,3857,20,6,,,"Map,Query,Data",
parivesh2/Canal,7,Daman_Canal,Polyline,3857,6,6,,,"Map,Query,Data",
parivesh2/Canal,8,Goa_Canal,Polyline,3857,60,7,,,"Map,Query,Data",
parivesh2/Canal,9,guj_canal,Polyline,3857,4246,3,,,"Map,Query,Data",
parivesh2/Canal,10,har_canal,Polyline,3857,3359,8,,,"Map,Query,Data",
parivesh2/Canal,11,HP_Canal,Polyline,3857,34,7,,,"Map,Query,Data",
parivesh2/Canal,12,Jha_Canal,Polyline,3857,370,7,,,"Map,Query,Data",
parivesh2/Canal,13,JK_Canal,Polyline,3857,350,5,,,"Map,Query,Data",
parivesh2/Canal,14,Ker_CanalLine,Polyline,3857,1777,5,,,"Map,Query,Data",
parivesh2/Canal,15,Kar_CanalLine,Polyline,3857,9927,5,,,"Map,Query,Data",
parivesh2/Canal,16,Mh_CanalLine,Polyline,3857,9785,6,,,"Map,Query,Data",
parivesh2/Canal,17,mani_canal_line,Polyline,3857,795,4,,,"Map,Query,Data",
parivesh2/Canal,18,megh_canal_line,Polyline,3857,362,7,,,"Map,Query,Data",
parivesh2/Canal,19,MP_CanalLine,Polyline,3857,6014,7,,,"Map,Query,Data",
parivesh2/Canal,20,Odisha_Canal,Polyline,3857,75,5,,,"Map,Query,Data",
parivesh2/Canal,21,pun_canal,Polyline,3857,4512,3,,,"Map,Query,Data",
parivesh2/Canal,22,Puducherry_Canal,Polyline,3857,236,7,,,"Map,Query,Data",
parivesh2/Canal,23,raj_canal,Polyline,3857,3775,3,,,"Map,Query,Data",
parivesh2/Canal,24,sik_canal_line,Polyline,3857,1,4,,,"Map,Query,Data",
parivesh2/Canal,25,TN_CanalLine,Polyline,3857,2153,7,,,"Map,Query,Data",
parivesh2/Canal,26,Tel_Canal,Polyline,3857,9762,5,,,"Map,Query,Data",
parivesh2/Canal,27,trip_canal_line,Polyline,3857,67,7,,,"Map,Query,Data",
parivesh2/Canal,28,up_canal_lLine,Polyline,3857,21126,6,,,"Map,Query,Data",
parivesh2/Canal,29,Ukhand_Canal,Polyline,3857,397,7,,,"Map,Query,Data",
parivesh2/Canal,30,WB_CanalLine,Polyline,3857,5740,7,,,"Map,Query,Data",
parivesh2/Canal,32,AP_Canal,Polygon,3857,671,7,,,"Map,Query,Data",
parivesh2/Canal,33,Bih_Canal,Polygon,3857,557,4,,,"Map,Query,Data",
parivesh2/Canal,34,chh_canal_poly,Polygon,3857,102,7,,,"Map,Query,Data",
parivesh2/Canal,35,Dadra_Canal_poly,Polygon,3857,5,7,,,"Map,Query,Data",
parivesh2/Canal,36,har_canal_poly,Polygon,3857,253,8,,,"Map,Query,Data",
parivesh2/Canal,37,HP_Canal_Poly,Polygon,3857,5,8,,,"Map,Query,Data",
parivesh2/Canal,38,Jha_Canal_Poly,Polygon,3857,213,8,,,"Map,Query,Data",
parivesh2/Canal,39,JK_Canal_poly,Polygon,3857,69,6,,,"Map,Query,Data",
parivesh2/Canal,40,Goa_Canal_Poly,Polygon,3857,9,8,,,"Map,Query,Data",
