proposal_no,decision,occurrences,meeting,meeting_ym
WL/RJ/ROAD/429009/2023,approved,1,09 May 2025,2025-05
WL/RJ/ROAD/447841/2023,approved,1,09 May 2025,2025-05
WL/MP/DRKWATER/464450/2024,approved,1,09 May 2025,2025-05
WL/MP/DRKWATER/487202/2024,approved,1,09 May 2025,2025-05
WL/RJ/DRKWATER/438857/2023,approved,1,09 May 2025,2025-05
WL/BR/CommPost/468578/2024,approved,1,09 May 2025,2025-05
WL/AS/ROAD/520117/2025,deferred,1,09 May 2025,2025-05
WL/RJ/ROAD/485918/2024,recommended,1,09 May 2025,2025-05
WL/RJ/ROAD/484405/2024,approved,1,09 May 2025,2025-05
WL/RJ/ROAD/504602/2024,approved,1,09 May 2025,2025-05
WL/RJ/ROAD/506178/2024,approved,1,09 May 2025,2025-05
WL/RJ/ROAD/427733/2023,approved,1,09 May 2025,2025-05
WL/RJ/ROAD/483335/2024,approved,1,09 May 2025,2025-05
WL/AS/DEF/447619/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/447615/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/447618/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/448371/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/447612/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/448381/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/448377/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/447472/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/448383/2023,approved,1,09 May 2025,2025-05
WL/AS/DEF/448367/2023,approved,1,09 May 2025,2025-05
WL/TN/MIN/QRY/462271/2024,recommended,1,09 May 2025,2025-05
WL/RJ/Pipeline/508927/2024,deferred,1,09 May 2025,2025-05
WL/RJ/Pipeline/493319/2024,deferred,1,09 May 2025,2025-05
WL/RJ/Pipeline/490960/2024,deferred,1,09 May 2025,2025-05
WL/KA/TRANS/502799/2024,recommended,1,09 May 2025,2025-05
WL/RJ/RainHarvest/507047/2024,approved,1,09 May 2025,2025-05
WL/HR/Others/448136/2023,,1,09 May 2025,2025-05
WL/HR/Others/420554/2023,,4,09 May 2025,2025-05
WL/HR/Others/448137/2023,,1,09 May 2025,2025-05
WL/RJ/DeReservation/513370/2024,,1,09 May 2025,2025-05
WL/RJ/MIN/QRY/439065/2023,approved,1,09 May 2025,2025-05
WL/MP/OFC/494883/2024,approved,1,09 May 2025,2025-05
WL/MP/OFC/494895/2024,approved,1,09 May 2025,2025-05
WL/AS/Others/527574/2025,approved,1,09 May 2025,2025-05
WL/OR/CommPost/450891/2023,approved,1,15 April 2025,2025-04
WL/UK/ROAD/466764/2024,approved,1,15 April 2025,2025-04
WL/MH/ROAD/472824/2024,deferred,1,15 April 2025,2025-04
WL/MH/ROAD/463717/2024,approved,1,15 April 2025,2025-04
WL/UK/IND/434575/2023,deferred,1,15 April 2025,2025-04
