layer,proposal_key,caf_no,sw_no,state,district,category,status,status_field,date,date_field,dos,granted_date,project_area,sensitivity_type,sensitivity_name,relation
ec_proposals,IA/GJ/IND3/514501/2024,CAF/182816/2024,SW/197907/2024,GUJARAT,BHARUCH,Synthetic organic chemicals industry ,EC Granted,proposal_status,2024-12-17T14:23:05.812,dos,2024-12-17T14:23:05.812,2025-06-18T22:04:55.479,,CPCB Critically Polluted Area,"Panoli,Ankaleshwar",mostly_inside
ec_proposals,SIA/TN/INFRA2/480903/2024,CAF/153816/2024,SW/168775/2024,TAMIL NADU,TIRUNELVELI,Townships/ Area Development Projects / Rehabilitation Centres,EC Granted,proposal_status,2024-06-13T19:48:14.389,dos,2024-06-13T19:48:14.389,2024-07-26T19:25:20.873,,Wildlife Sanctuary,Gangaikondam Spotted Dear Wildlife Santuary,partial
ec_proposals,SIA/UK/MIN/522366/2025,CAF/218328/2025,SW/233646/2025,UTTARAKHAND,NAINITAL,Mining of minerals,EC Granted,proposal_status,2025-02-04T15:13:06.891,dos,2025-02-04T15:13:06.891,2025-04-24T16:29:39.988,,Tiger Corridor,(unnamed),within
ec_proposals,SIA/UK/MIN/522366/2025,CAF/218328/2025,SW/233646/2025,UTTARAKHAND,NAINITAL,Mining of minerals,EC Granted,proposal_status,2025-02-04T15:13:06.891,dos,2025-02-04T15:13:06.891,2025-04-24T16:29:39.988,,Tiger Reserve,(unnamed),within
ec_proposals,SIA/UK/MIN/522366/2025,CAF/218328/2025,SW/233646/2025,UTTARAKHAND,NAINITAL,Mining of minerals,EC Granted,proposal_status,2025-02-04T15:13:06.891,dos,2025-02-04T15:13:06.891,2025-04-24T16:29:39.988,,Wildlife Corridor,Placemark,within
ec_proposals,SIA/OR/MIN/485629/2024,CAF/180240/2024,SW/195256/2024,ODISHA,JHARSUGUDA,Mining of minerals,EC Granted,proposal_status,2024-07-03T17:22:22.069,dos,2024-07-03T17:22:22.069,2025-03-11T19:01:00.197,,CPCB Severely Polluted Area,Ib_Valley,within
ec_proposals,SIA/TG/MIN/503272/2024,CAF/198711/2024,SW/214221/2024,TELANGANA,MAHABUBABAD,Mining of minerals,EC Granted,proposal_status,2024-10-27T15:29:59.107,dos,2024-10-27T15:29:59.107,2025-05-25T09:38:55.904,,ESZ (gazette notified),Pakhal WLS,within
ec_proposals,SIA/MP/MIN/476644/2024,CAF/170843/2024,SW/185053/2024,MADHYA PRADESH,MANDLA,Mining of minerals,Standard ToR Granted,proposal_status,2024-06-06T14:37:52.604,dos,2024-06-06T14:37:52.604,2025-04-11T23:24:30.349,,ESZ (gazette notified),Kanha and Phen,partial
ec_proposals,SIA/MP/MIN/476644/2024,CAF/170843/2024,SW/185053/2024,MADHYA PRADESH,MANDLA,Mining of minerals,Standard ToR Granted,proposal_status,2024-06-06T14:37:52.604,dos,2024-06-06T14:37:52.604,2025-04-11T23:24:30.349,,Tiger Reserve,(unnamed),partial
ec_proposals,SIA/MP/MIN/476644/2024,CAF/170843/2024,SW/185053/2024,MADHYA PRADESH,MANDLA,Mining of minerals,Standard ToR Granted,proposal_status,2024-06-06T14:37:52.604,dos,2024-06-06T14:37:52.604,2025-04-11T23:24:30.349,,Tiger Corridor,(unnamed),partial
